ProspectiveBuyerKey,FirstName,LastName,Age,MaritalStatus,Gender,AnnualIncome,TotalChildren,ChildrenAtHomeCount,EducationLevel,WorkClass,HomeOwnership,CarsOwned,City,StateProvinceCode,PostalCode,Unknown
1,Ole,Larson,74,M,M,40000,3,0,Partial Co,Professional,1,2,Cedar City,UT,84720,0
2,Ingrid,Larson,70,M,F,80000,4,0,Bachelors,Management,1,2,Colma,ND,58575,4
3,Ole,Larson,56,S,M,130000,3,4,Partial Co,Professional,1,4,Lynnwood,MN,55725,1
4,Carl,Carlson,35,S,M,50000,0,0,Partial Co,Skilled Manual,1,2,Chula Vista,ND,58406,4
5,Katrin,Hanson,55,M,F,10000,2,0,Partial Co,Manual,1,0,Dallas,OH,44006,4
6,Sven,Hanson,36,S,M,50000,0,0,High Schoo,Professional,0,2,Puyallup,MN,55504,1
7,Katrin,Larson,40,M,F,50000,1,1,Bachelors,Skilled Manual,1,0,Colma,ND,58633,4
8,Inga,Anderson,57,M,F,40000,3,0,Partial Co,Skilled Manual,1,2,Culver City,ND,58349,4
9,Hans,Larson,44,M,M,90000,0,0,Bachelors,Professional,1,0,Beverly Hills,ND,58688,4
10,Erika,Olson,64,M,F,40000,5,0,High Schoo,Professional,0,3,Port Orchard,MN,56331,1
11,Katrin,Larson,37,M,F,60000,0,0,Partial Co,Skilled Manual,1,2,Edmonds,MN,55702,1
12,Ella,Johnson,32,M,F,40000,0,0,Partial Hi,Clerical,1,2,Puyallup,MN,56419,1
13,Katrin,Johnson,33,S,F,30000,0,0,Partial Hi,Clerical,1,2,Pleasanton,ND,58426,4
14,Ella,Anderson,33,M,F,50000,0,0,Partial Co,Skilled Manual,1,2,West Covina,ND,58714,4
15,Sven,Larson,46,S,M,70000,2,0,Graduate D,Professional,1,1,Bellingham,MN,55629,1
16,Erika,Johnson,60,S,F,50000,2,1,High Schoo,Professional,1,2,Citrus Heights,ND,58330,4
17,Ole,Carlson,38,M,M,30000,0,0,High Schoo,Manual,1,1,Spokane,MN,55457,1
18,Erika,Hanson,42,S,F,50000,2,2,Bachelors,Skilled Manual,0,1,Berkeley,ND,58658,4
19,Erika,Carlson,44,S,F,30000,2,2,Partial Co,Manual,1,0,Los Angeles,ND,58408,4
20,Ole,Carlson,44,S,M,30000,1,1,Bachelors,Clerical,1,1,Los Angeles,ND,58073,4
21,Erika,Hanson,60,S,F,10000,2,0,Bachelors,Clerical,1,1,Dallas,OH,45291,4
22,Inga,Carlson,61,M,F,70000,5,1,Partial Hi,Skilled Manual,1,3,Burien,MN,56402,1
23,John,Johnson,36,S,M,90000,4,4,Partial Co,Skilled Manual,0,2,Milwaukie,SD,57680,1
24,Erik,Johnson,32,M,M,40000,0,0,High Schoo,Skilled Manual,1,2,Chantilly,ID,83798,5
25,Ole,Larson,33,S,M,20000,0,0,High Schoo,Manual,1,1,Colma,ND,58042,4
26,Ole,Hanson,33,M,M,60000,0,0,Partial Co,Skilled Manual,1,2,Portland,SD,57644,1
27,Ole,Larson,33,M,M,30000,0,0,Partial Hi,Clerical,1,2,Burbank,ND,58141,4
28,Erika,Hanson,45,M,F,20000,2,2,High Schoo,Manual,0,2,Kirkland,MN,56209,1
29,Kirsten,Hanson,42,S,F,120000,0,0,Bachelors,Management,1,3,Redwood City,ND,58058,4
30,Inga,Anderson,51,M,F,30000,0,0,Bachelors,Clerical,1,0,South Bend,MT,59865,3
31,Kirsten,Hanson,54,S,F,130000,3,4,Partial Co,Professional,0,3,Saint Ann,NE,68848,0
32,Ingrid,Larson,40,S,F,70000,4,0,Graduate D,Professional,1,0,Concord,ND,58653,4
33,Katrin,Anderson,44,S,F,30000,1,1,Bachelors,Clerical,1,1,Daly City,ND,58846,4
34,Erika,Anderson,74,S,F,20000,1,0,Graduate D,Clerical,0,0,Olympia,MN,56315,1
35,Sven,Hanson,49,S,M,20000,1,0,Graduate D,Clerical,1,0,Altadena,ND,58232,4
36,Hans,Johnson,35,S,M,50000,1,1,Bachelors,Skilled Manual,0,1,Spokane,MN,55917,1
37,John,Carlson,35,S,M,20000,0,0,Partial Co,Manual,1,1,Bellflower,ND,58100,4
38,Ingrid,Hanson,73,S,F,110000,2,3,Graduate D,Management,0,4,Colma,ND,58516,4
39,Ingrid,Carlson,57,M,F,30000,1,0,Bachelors,Skilled Manual,0,1,Colma,ND,58206,4
40,Carl,Anderson,54,M,M,50000,2,0,Partial Hi,Skilled Manual,1,2,Yakima,MN,56706,1
41,Carl,Hanson,69,M,M,50000,3,0,Bachelors,Management,1,2,Ballard,MN,55234,1
42,Erika,Johnson,60,M,F,50000,4,0,Bachelors,Management,0,2,Colma,ND,58249,4
43,Ella,Larson,49,S,F,70000,5,4,Partial Co,Skilled Manual,1,3,Newport Hills,MN,56033,1
44,John,Hanson,57,S,M,90000,4,1,Partial Co,Professional,1,2,Lynnwood,MN,56445,1
45,Ella,Carlson,57,S,F,90000,4,2,Partial Co,Professional,0,1,San Francisco,ND,58779,4
46,Inga,Carlson,75,M,F,30000,2,0,Partial Co,Clerical,1,2,Concord,ND,58447,4
47,Ella,Carlson,50,S,F,50000,1,0,Partial Co,Skilled Manual,0,1,Concord,ND,58253,4
48,Katrin,Anderson,42,M,F,80000,0,0,Bachelors,Management,0,1,Merritt Island,WI,53051,5
49,Carl,Larson,34,S,M,70000,0,0,High Schoo,Management,0,2,Burien,MN,56002,1
50,Katrin,Olson,40,S,F,60000,1,0,Graduate D,Professional,1,0,Grossmont,ND,58545,4
51,Ella,Olson,76,M,F,50000,2,0,Graduate D,Management,1,2,Yakima,MN,55072,1
52,Ole,Carlson,53,S,M,70000,2,1,Partial Co,Professional,0,0,Chandler,IL,60539,4
53,Ole,Larson,37,S,M,50000,0,0,Graduate D,Skilled Manual,1,0,Fremont,ND,58488,4
54,Kirsten,Hanson,52,S,F,80000,5,4,Graduate D,Professional,0,0,Bradenton,WI,53429,5
55,Inga,Hanson,38,S,F,90000,0,0,High Schoo,Management,1,3,Gold Bar,MN,56532,1
56,Hans,Carlson,33,S,M,50000,0,0,Partial Co,Skilled Manual,1,2,Euclid,OH,44119,3
57,Hans,Johnson,50,M,M,60000,1,0,Partial Co,Skilled Manual,1,1,Ithaca,MN,55958,2
58,Ole,Carlson,41,S,M,30000,2,2,Partial Co,Clerical,0,2,Chula Vista,ND,58479,4
59,Inga,Olson,50,S,F,10000,1,1,High Schoo,Manual,0,1,Concord,ND,58597,4
60,Katrin,Olson,66,M,F,50000,3,0,Graduate D,Management,1,2,Olympia,MN,56365,1
61,Inga,Johnson,59,M,F,70000,5,2,Partial Hi,Skilled Manual,1,2,Lynnwood,MN,55227,1
62,Katrin,Hanson,63,M,F,70000,4,1,Bachelors,Management,1,1,Colma,ND,58216,4
63,John,Johnson,33,S,M,30000,0,0,Partial Co,Clerical,1,1,Bremerton,MN,56691,1
64,Ole,Anderson,44,M,M,10000,1,1,High Schoo,Manual,0,1,Downey,ND,58465,4
65,Hans,Olson,34,S,M,20000,0,0,High Schoo,Manual,1,1,Colma,ND,58247,4
66,Ingrid,Hanson,63,M,F,70000,4,1,Bachelors,Management,1,1,Concord,ND,58716,4
67,Ella,Hanson,55,M,F,60000,2,0,High Schoo,Professional,1,2,Milwaukie,SD,57340,1
68,Katrin,Carlson,56,M,F,60000,3,1,Partial Hi,Skilled Manual,0,2,Tacoma,MN,56408,1
69,Kirsten,Olson,49,S,F,10000,1,1,High Schoo,Manual,1,1,Kirkland,MN,55561,1
70,Ole,Anderson,48,S,M,50000,1,0,Partial Co,Skilled Manual,0,1,Kenmore,MN,55042,1
71,Inga,Anderson,78,S,F,80000,3,0,Graduate D,Management,1,1,Scottsdale,IL,61472,4
72,Kirsten,Olson,57,M,F,30000,1,0,Bachelors,Skilled Manual,0,1,Camarillo,ND,58236,4
73,Erika,Olson,58,M,F,40000,3,0,Partial Co,Professional,0,2,West Covina,ND,58689,4
74,Ella,Hanson,59,M,F,10000,3,0,High Schoo,Manual,1,2,Concord,ND,58580,4
75,Inga,Larson,60,M,F,50000,2,1,High Schoo,Professional,1,2,Clarkston,WY,82248,5
76,Ole,Larson,33,M,M,30000,0,0,Partial Hi,Clerical,1,2,Redlands,ND,58601,4
77,Katrin,Anderson,44,M,F,20000,2,2,High Schoo,Manual,0,1,Corvallis,SD,57328,1
78,Ingrid,Hanson,38,M,F,30000,0,0,High Schoo,Manual,1,1,Portland,SD,57306,1
79,Ingrid,Johnson,46,M,F,70000,0,0,Bachelors,Professional,0,1,Clay,MN,56110,2
80,Ingrid,Johnson,41,M,F,10000,2,2,High Schoo,Manual,1,1,Los Angeles,ND,58096,4
81,Ella,Olson,51,S,F,90000,4,2,Partial Co,Professional,0,1,San Francisco,ND,58831,4
82,Kirsten,Carlson,49,S,F,10000,1,0,Bachelors,Manual,1,0,Beaverton,SD,57158,1
83,Inga,Johnson,60,S,F,40000,2,1,Partial Hi,Skilled Manual,1,2,Bellingham,MN,55840,1
84,Erik,Olson,37,M,M,40000,0,0,Graduate D,Clerical,1,0,Mill Valley,ND,58264,4
85,Ingrid,Johnson,43,S,F,50000,0,0,Graduate D,Skilled Manual,1,0,Sedro Woolley,MN,56046,1
86,Hans,Johnson,38,M,M,50000,1,1,Graduate D,Skilled Manual,1,0,Sedro Woolley,MN,55478,1
87,John,Anderson,55,S,M,50000,2,0,Partial Hi,Skilled Manual,0,2,Everett,MT,59801,0
88,John,Anderson,70,S,M,60000,3,0,Graduate D,Management,1,2,W. Linn,SD,57307,1
89,Katrin,Carlson,46,M,F,40000,0,0,High Schoo,Skilled Manual,0,1,Issaquah,MN,55347,1
90,Hans,Olson,55,M,M,110000,3,4,Partial Co,Professional,1,4,Imperial Beach,ND,58481,4
91,Hans,Olson,43,M,M,40000,0,0,High Schoo,Skilled Manual,1,1,Ballard,MN,56211,1
92,Ella,Johnson,57,S,F,90000,4,2,Partial Co,Professional,0,1,Anacortes,MN,55222,1
93,Carl,Olson,31,M,M,40000,0,0,High Schoo,Skilled Manual,1,2,Glendale,ND,58207,4
94,Ella,Johnson,46,M,F,30000,2,2,Partial Co,Clerical,1,2,Chula Vista,ND,58266,4
95,Ole,Anderson,71,S,M,20000,1,0,Bachelors,Clerical,0,0,Long Beach,ND,58085,4
96,Katrin,Carlson,56,M,F,50000,2,0,Partial Hi,Skilled Manual,1,2,Monroe,MN,56385,1
97,Inga,Larson,38,M,F,10000,3,3,High Schoo,Manual,1,1,Bremerton,MN,56626,1
98,Katrin,Johnson,36,S,F,30000,0,0,Partial Co,Clerical,1,1,W. Linn,SD,57149,1
99,Erik,Larson,41,M,M,30000,0,0,Bachelors,Clerical,1,0,Downey,ND,58276,4
100,Kirsten,Olson,42,S,F,120000,0,1,Bachelors,Management,0,4,Issaquah,MN,55522,1
101,Carl,Carlson,37,S,M,50000,1,0,Graduate D,Skilled Manual,1,0,Mill Valley,NE,68660,0
102,Kirsten,Johnson,32,S,F,40000,1,1,Bachelors,Skilled Manual,1,1,Portland,SD,57467,1
103,Inga,Olson,43,S,F,70000,5,5,Bachelors,Professional,1,3,Edmonds,MN,56192,1
104,Katrin,Larson,39,S,F,10000,0,0,Partial Hi,Manual,0,2,Chula Vista,ND,58139,4
105,Hans,Carlson,32,M,M,30000,0,0,Partial Hi,Clerical,1,2,Milwaukie,SD,57122,1
106,Inga,Carlson,35,S,F,50000,0,0,Partial Co,Skilled Manual,1,2,Lemon Grove,ND,58129,4
107,Ingrid,Anderson,37,M,F,80000,0,0,High Schoo,Management,0,3,Lynnwood,MN,55861,1
